Name,calc,Charge,Mult,Mass,Ion_mode,Formula_add,Formula_ded,Multi
M+3H,M/3+1.007276,3,1,1.007276,positive,H3,FALSE,1
M+2H+Na,M/3+8.334591,3,1,8.334591,positive,H2Na1,FALSE,1
M+H+2Na,M/3+15.661905,3,1,15.661905,positive,H1Na2,FALSE,1
M+3Na,M/3+22.98922,3,1,22.98922,positive,Na3,FALSE,1
M+2H,M/2+1.007276,2,1,1.007276,positive,H2,FALSE,1
M+H+NH4,M/2+9.520553,2,1,9.520553,positive,H1N1H4,FALSE,1
M+H+K,M/2+19.985218,2,1,19.985218,positive,H1K1,FALSE,1
M+H+Na,M/2+11.998248,2,1,11.998248,positive,H1Na1,FALSE,1
M+ACN+2H,M/2+21.520551,2,1,21.520551,positive,C2H5N1,FALSE,1
M+2Na,M/2+22.98922,2,1,22.98922,positive,Na2,FALSE,1
M+2ACN+2H,M/2+42.033826,2,1,42.033826,positive,C4H8N2,FALSE,1
M+3ACN+2H,M/2+62.547101,2,1,62.547101,positive,C6H11N3,FALSE,1
M+H,M+1.007276,1,1,1.007276,positive,H1,FALSE,1
M+Li,M+7.015456,1,1,7.015456,positive,Li1,FALSE,1
M+2Li-H,M+13.023636,1,1,13.023636,positive,Li2,H1,1
M+NH4,M+18.03383,1,1,18.03383,positive,N1H4,FALSE,1
M+H2O+H,M+19.017836,1,1,19.017836,positive,H3O1,FALSE,1
M+Na,M+22.98922,1,1,22.98922,positive,Na1,FALSE,1
M+CH3OH+H,M+33.033486,1,1,33.033486,positive,C1H5O1,FALSE,1
M+K,M+38.96316,1,1,38.96316,positive,K1,FALSE,1
M+ACN+H,M+42.033826,1,1,42.033826,positive,C2H4N1,FALSE,1
M+2Na-H,M+44.971164,1,1,44.971164,positive,Na2,H1,1
M+IsoProp+H,M+61.064786,1,1,61.064786,positive,C3H9O1,FALSE,1
M+ACN+Na,M+64.01577,1,1,64.01577,positive,C2H3N1Na1,FALSE,1
M+2K-H,M+76.919044,1,1,76.919044,positive,K2,H1,1
M+DMSO+H,M+79.021216,1,1,79.021216,positive,C2H7S1O1,FALSE,1
M+2ACN+H,M+83.060376,1,1,83.060376,positive,C4H7N2,FALSE,1
2M+H,2M+1.007276,1,2,1.007276,positive,H1,FALSE,2
2M+NH4,2M+18.03383,1,2,18.03383,positive,N1H4,FALSE,2
2M+Na,2M+22.98922,1,2,22.98922,positive,Na1,FALSE,2
2M+K,2M+38.96316,1,2,38.96316,positive,K1,FALSE,2
2M+ACN+H,2M+42.033826,1,2,42.033826,positive,C2H4N1,FALSE,2
2M+ACN+Na,2M+64.01577,1,2,64.01577,positive,C2H3N1Na1,FALSE,2
3M+H,3M+1.007276,1,3,1.007276,positive,H1,FALSE,3
M+H-NH3,M-16.019273,1,1,-16.019273,positive,H1,N1H3,1
M+H-H2O,M-17.003288,1,1,-17.003288,positive,H1,H2O1,1
M+H-Hexose-H2O,M-161.045554,1,1,-161.045554,positive,H1,C6H10O5,1
M+H-H4O2,M-35.013853,1,1,-35.013853,positive,H1,H4O2,1
M+H-CH2O2,M-44.998203,1,1,-44.998203,positive,H1,C1H2O2,1
M+,M-0.00054858,1,1,-5.49E-04,positive,FALSE,FALSE,1
M-3H,M/3-1.007276,-3,1,-1.007276,negative,FALSE,H3,1
M-2H,M/2-1.007276,-2,1,-1.007276,negative,FALSE,H2,1
M-H,M-1.007276,-1,1,-1.007276,negative,FALSE,H1,1
M+Na-2H,M+20.974668,-1,1,20.974668,negative,Na1,H2,1
M+Cl,M+34.9694,-1,1,34.9694,negative,Cl1,FALSE,1
M+K-2H,M+36.948608,-1,1,36.948608,negative,K1,H2,1
M+ACN-H,M+40.019274,-1,1,40.019274,negative,C2H3N1,H1,1
M+FA-H,M+44.9982,-1,1,44.9982,negative,C1O2H2,H1,1
M+Hac-H,M+59.01385,-1,1,59.01385,negative,C2O2H4,H1,1
M+Br,M+78.91889,-1,1,78.91889,negative,Br1,FALSE,1
M+TFA-H,M+112.9856,-1,1,112.9856,negative,C2F3O2H1,H1,1
2M-H,2M-1.007276,-1,2,-1.007276,negative,FALSE,H1,2
2M+FA-H,2M+44.9982,-1,2,44.9982,negative,C1O2H2,H1,2
2M+Hac-H,2M+59.01385,-1,2,59.01385,negative,C2O2H4,H1,2
3M-H,3M-1.007276,-1,3,-1.007276,negative,FALSE,H1,3
M+FA+Na-H,M+66.980164,-1,1,66.980164,negative,C1H1O2Na1,H1,1
M-,M+0.00054858,-1,1,5.4858e-4,negative,FALSE,FALSE,1
