Name,calc,Charge,Mult,Mass,Ion_mode,Formula_add,Formula_ded,Multi
M+2H,M/2+1.007276,2,1,1.007276,positive,H2,FALSE,1
M+H+NH4,M/2+9.520550,2,1,9.52055,positive,H1N1H4,FALSE,1
M+H+Na,M/2+11.998247,2,1,11.998247,positive,H1Na1,FALSE,1
M+H+K,M/2+19.985217,2,1,19.985217,positive,H1K1,FALSE,1
M+2Na,M/2+22.989218,2,1,22.989218,positive,Na2,FALSE,1
M+H,M+1.007276,1,1,1.007276,positive,H1,FALSE,1
M+NH4,M+18.033823,1,1,18.033823,positive,N1H4,FALSE,1
M+Na,M+22.989218,1,1,22.989218,positive,Na1,FALSE,1
M+K,M+38.963158,1,1,38.963158,positive,K1,FALSE,1
M+CH3OH+H,M+33.033489,1,1,33.033489,positive,C1H5O1,FALSE,1
M+ACN+H,M+42.033823,1,1,42.033823,positive,C2H4N1,FALSE,1
M+IsoProp+H,M+61.06534,1,1,61.06534,positive,C3H9O1,FALSE,1
M+DMSO+H,M+79.02122,1,1,79.02122,positive,C2H7S1O1,FALSE,1
M-H,M-1.007276,-1,1,-1.007276,negative,FALSE,H1,1
M+FA-H,M+44.998201,-1,1,44.998201,negative,C1O2H2,H1,1
M+Hac-H,M+59.013851,-1,1,59.013851,negative,C2O2H4,H1,1
M+Cl,M+34.969402,-1,1,34.969402,negative,Cl1,FALSE,1
M+Br,M+78.918885,-1,1,78.918885,negative,Br1,FALSE,1
M+TFA-H,M+112.985586,-1,1,112.985586,negative,C2F3O2H1,H1,1
